ParentPDG,PDG,Vx,Vy,Vz,Px,Py,Pz
211,14,0.0285221547617,0.176257063121,19.9766159127,-2.14394734247,-11.8127450755,-1589.50722468
211,14,-0.396508239324,-0.293603901021,9.94485567433,6.17765133359,4.95949636319,-235.762614358
211,14,-1.19889696114,-1.48137640655,470.838647239,3.51754634899,-4.37723080667,-1927.88084699
211,14,-0.958698979116,-0.896013914786,638.625653859,2.19222554065,2.0878553793,-1529.06636643
211,14,-0.0892269615366,-0.736997976423,30.0977729245,0.12856850365,0.819081909876,1.11774761409
321,14,-0.414048193438,-0.237823368721,33.1240715162,3.00680492236,1.36207572665,15.4541614566
211,14,0.392560375676,0.30353199519,8.28212812931,-89.4147589542,-71.7060112676,-1626.12385644
211,14,0.194948702132,1.20525766697,480.435345762,1.0919418091,-1.99026279666,-674.771133039
211,14,3.137343952,-3.29323930756,144.934916839,-53.2822339542,55.8408352316,-2515.49170776
211,14,-0.249138368916,3.15622572793,464.713270093,6.42115460517,-31.791227187,-528.63029962
211,14,22.546106031,-16.0346780056,497.823271642,-93.6117624762,66.4665991772,-1690.17306382
211,14,-0.0233703018798,-0.84310972546,25.4213171844,-0.0627872804381,14.9864121052,-527.482600384
321,14,-0.0354084736628,-0.104881658815,26.9976870848,5.91732030188,6.46956066517,-3644.10540324
211,14,2.25443834803,-0.119425968251,95.0094710364,-23.9450253534,1.18357087836,-1012.87284673
211,14,0.142821311867,0.0569738000311,6.08769698975,-4.98559581606,-1.87435339729,-141.306464732
211,14,-0.80347056753,0.4503762572,14.521712183,1.71692511657,-1.86448698053,2.37402813762
211,14,2.90701064594,-0.577404619246,472.539831795,-25.8640547813,11.2007560609,-1897.22823753
211,14,7.06370811747,0.728795155287,465.897132203,-24.8550175331,-2.97889236421,-134.259865088
211,14,-1.78739839815,-0.566405613294,466.103071318,-26.2545786121,-3.31499696779,-726.246923605
211,14,-0.487551570156,1.24278956385,479.967584926,-1.44967087297,-13.9940220367,-1550.99600114
211,14,0.289785609259,-0.0618339031286,18.0676617394,-12.6899849954,1.59713259501,-1017.81999307
211,14,4.95647712364,-3.24993235648,467.474493854,-20.8399783477,13.5722161615,-325.303713706
211,14,0.267588569854,-0.0300245353509,315.640712757,-0.0538663483631,-0.00660956135661,0.44867967047
211,14,0.298993984394,-2.81106743521,498.751143744,-1.71818325948,9.56314431872,-1433.37206618
211,14,-3.25212245366,0.450552990028,472.609103649,31.8446924752,-5.40975580623,-1403.05133292
211,14,0.82061642383,11.1970199342,55.2176150665,-7.12170575483,-69.0312375588,-349.994248459
211,14,-0.362623765547,0.57853554543,88.9521106605,7.51764272952,-11.8875366776,-1899.00170426
211,14,-1.00727334122,1.17966391737,35.1703866183,11.3950868721,-13.3364634662,-405.950456064
211,14,-1.8296368535,2.58522687184,466.619519457,-1.8278549568,-0.340245575863,-2404.74534702
211,14,-2.81757238041,1.21808598456,121.249146138,39.3117706574,-17.0811081767,-1738.95708296
211,14,11.561100207,0.00968093661726,461.80995855,-32.6313016425,-2.42205684063,-321.330110346
211,14,5.14350132765,-13.8154829999,534.175642825,-19.9697076115,55.2318974602,-1895.67316816
211,14,-12.1584517792,4.33161880624,446.238207943,3.29815026148,-3.05503654042,-744.922796942
211,14,-0.148627780808,0.499946134031,18.1017826825,0.23992916551,-0.685288665393,1.93369360621
211,14,-0.159085639752,2.14373422398,648.822796867,0.0446382265984,0.1245754855,0.443695065246
211,14,-3.59582301142,1.6139411257,333.89753043,1.25859400527,-0.743896162975,-0.402674646295
211,14,-0.863759927876,2.36782489405,141.390796509,0.246839299845,-0.637040440995,0.504361796744
211,14,7.807209547,10.1008980858,458.121228166,-14.3033771263,-21.6074141133,-1737.98640173
211,14,-1.2826002398,0.94367085225,54.6522630219,16.441473348,-12.2277363806,-707.988715067
321,14,0.243407079262,0.268906799784,118.47830261,-3.69673367346,-6.43865575555,-2924.15511604
211,14,16.5852403176,12.6142429557,302.230095901,-5.33004425114,-4.0654430761,-12.4198016507
211,14,-0.0166321286289,-0.102388863888,82.2620091383,0.702975757817,0.890244582393,-1189.45657572
321,14,-0.486397145314,-0.745213063981,16.5877937344,183.841475029,279.010360724,-6422.22549144
211,14,-2.80120528341,3.86178197678,480.517646831,-11.0879779564,7.97177573776,-89.3886170769
211,14,1.14841337747,-1.52467941834,467.259550399,-5.02206578237,-16.68697149,-185.301967578
211,14,4.27131329422,5.51874078262,705.521144856,0.286155930324,0.484654294521,0.369785480925
211,14,-5.83252741645,0.262305581158,403.36036211,25.8255290564,-1.14649384264,-2020.06859621
211,14,-0.0237151345181,0.409663925378,8.66519409315,-0.0289154591465,-0.974029434613,2.70263041861
211,14,-0.235517394139,-0.817976438073,15.5549838861,0.530893441667,1.83753361984,1.82089646683
211,14,0.277246180834,0.127277250639,21.7613461354,-31.2115135172,-13.7050363641,-2699.87878511
211,14,1.27529940986,-0.579392214829,60.3652279054,-51.7176047456,23.6864110868,-2496.37759211
211,14,-1.01866792292,1.26411775867,218.251047503,5.25440323952,-6.32208010819,-1106.81504011
321,14,-0.197465151876,0.0203394727484,9.89272408017,5.58837153573,-1.16657365097,36.6727019867
211,14,-0.348873682502,-0.316811031914,289.869809367,0.104059354195,0.0567186283053,0.965165247176
211,14,7.11900089803,-2.41741473358,486.71172457,-31.9841918113,10.6705315962,-1532.12765802
211,14,2.7740061841,7.61577384086,470.864635655,2.77481241122,10.2476407773,-1109.84754164
211,14,0.129935937211,-0.0365242292894,16.4419854029,-5.60135842313,1.60863759825,-611.732122034
211,14,1.9026081917,1.28742611472,442.512188925,-1.99452654777,-1.98905692789,-813.963393396
211,14,0.711706995439,0.393199677047,63.5961550075,-17.728504346,-9.48706394977,-1626.03717538
211,14,0.0344615189388,1.17191372932,98.5118492449,-0.0171007588786,-0.403162582932,0.569865560291
211,14,-0.555953932235,-0.347110094407,23.3101072263,0.740045955435,0.521009699762,0.314633105436
211,14,-0.951345483436,0.230243594905,22.1312592538,1.29540783539,-0.270482722875,1.56163445678
211,14,0.314084050276,0.321361292189,10.7842118807,-0.92588790135,-1.05012951458,2.06012977871
211,14,-0.320759301398,-0.489861059655,7.38198873911,1.71578991244,2.43255850815,2.73884354023
211,14,-2.00322054045,-0.823996116223,277.038518537,0.496198076907,0.278966367693,0.494755089423
211,14,0.556364923518,-0.0930797470148,17.482301589,-0.956031174325,0.185240434169,0.619497448648
211,14,-1.49756357405,0.609893020908,129.308964772,26.2620342843,-10.8435345622,-2323.14876229
211,14,3.80879047712,-2.51152034622,456.343477519,-7.27080450084,4.60471507985,-15.9712601786
211,14,0.283369042682,-0.128540276538,68.5521895768,-0.1275927813,0.0559229437001,0.606772550004
211,14,0.699181955616,0.00113809862718,48.5036395281,-0.474420387921,-0.0199860684041,0.752481545447
211,14,-1.6976971134,-1.40003226995,45.1219993695,1.20963036285,1.0161523926,1.28235335645
211,14,-0.875297265893,-0.895980927414,24.7401533605,1.08992773095,1.09206838116,3.39640635281
211,14,-1.90589089215,2.07710380168,460.756195858,-3.10660843885,4.66822983186,-973.233896609
321,14,-0.693514758992,0.38648483038,18.6682546181,8.54353013916,-4.6342923172,21.5301245463
211,14,0.141673880355,-0.063340425714,64.0072410188,-2.39604279858,1.8873161705,-1190.62040349
321,14,0.381841911728,-0.352249061564,17.1980353103,-69.485327004,65.3500488706,-3648.22060686
211,14,0.945341842395,-4.93452959747,116.052371097,-0.236718418897,1.78766805303,-1.234254381
211,14,-0.115390466724,2.32046943284,464.455435922,19.3521757078,-20.1735733842,-487.759173179
321,14,0.179409370994,0.369531175661,16.4674521215,-20.2401143354,-49.5800684506,-2235.01573951
211,14,-0.687695309396,0.380276507745,23.4876218976,0.989459774908,-0.540170785971,2.85946140161
211,14,-1.93153509065,8.43442533754,366.938565144,8.78162976998,-36.8059379575,-1746.0929121
211,14,0.404814606896,1.89101502834,451.703464172,-3.1680237352,-3.42355565659,-1511.33310953
211,14,0.0716050983859,-0.0652205764544,36.3905354718,-2.69202995992,1.69802807329,-1904.70996552
211,14,-1.98928993445,0.586993102825,228.867788696,12.9718737321,-3.87556748243,-1606.63988702
211,14,3.22642839918,2.18170803349,467.170803955,-22.258179335,-17.1154131471,-410.461477168
211,14,6.84362575322,3.93345968476,131.395031716,-2.03985552102,-1.24752617485,0.417887210641
211,14,-0.187289716277,0.613979524334,16.1278771564,20.7458749507,-69.1376704557,-1842.14291361
211,14,-3.0328711914,1.43087223811,413.996988929,12.1767884369,-5.91275463509,-1978.00385621
211,14,-0.452389301967,-0.00309745346592,75.9358744489,0.203919367999,0.0350950305603,3.21279439418
211,14,1.51921378762,0.00605167187501,20.1639386735,-11.641429099,-0.188267002144,-166.607841556
211,14,1.25036276379,-1.11674982688,409.343211296,-2.50533549636,2.18831596044,-1204.3402551
211,14,1.62452583882,-1.78328552183,442.004158606,-1.68616006905,1.82825676766,-2.62173724173
211,14,5.90525136325,2.28956243346,488.209828979,10.9916118309,2.24840238017,-109.900262616
211,14,-1.19179151957,-0.798844079854,148.969141017,9.70137590076,6.83024288473,-1231.39670979
211,14,0.22600843012,0.0977311999343,58.5334907706,-0.116748502315,-0.0372867147604,0.482587145181
211,14,1.28117892593,-4.98706406281,459.402212149,-2.11781571279,23.6399204802,-162.85457355
211,14,-0.910457260581,-0.913673034231,86.094416999,0.279632091585,0.354732321165,0.394024940173
211,14,6.45349977523,4.64291283907,363.692041278,-2.72099858799,-1.94320225582,-7.33587867211
211,14,1.50279472746,-4.44559625675,451.430912238,-4.35512192735,7.60769508444,-41.5921963333
211,14,2.47490720584,0.779447119981,75.5462479426,-1.14227730407,-0.273990997406,0.506673415406
321,14,0.481364552601,-0.148035975017,26.8893134577,-3.99551286361,0.824264442479,10.5380475827
211,14,1.30842490575,2.64322574083,225.736803749,-12.107284924,-24.8881127005,-2174.0153825
211,14,-4.13114225056,2.10250737319,465.646527189,29.4318224367,-23.5845739265,-836.106737688
211,14,9.53068262482,-33.7127198248,475.864040461,-42.3927530799,150.191294209,-1740.84330299
211,14,0.265738242209,0.259868366326,471.121920083,-2.78783528803,1.54598970744,-3.77604663207
211,14,1.76322932607,-0.407731408293,399.099901905,-9.11144237426,2.34553394995,-2176.19802661
211,14,0.743697315794,-0.330781032508,6.38821555126,-39.5345503919,34.5185394812,-93.0531659175
211,14,-3.49615202893,-2.91786474363,441.015766502,3.0982038904,4.89087650134,-17.6075275251
211,14,0.687980829474,0.0656557392895,556.489354209,-1.73678329744,-0.571421754095,-1480.18417356
211,14,-0.694011975835,0.00769586412154,26.9683179192,75.8356993133,-0.203033533772,-3061.58620005
211,14,0.897045259822,-0.0700872414559,131.00053052,-3.3213330761,0.0946180142491,-476.265482181
321,14,-0.589951155805,0.322176160452,30.866752581,4.40452718863,-2.63226463116,20.6634403963
